rnd,overall,draftteam,player,pos,country,wt,ht,draftyear,age,gp,playerurl
1,1,PIT,Sidney Crosby,C,CAN,200,71,2005,18,867,https://www.hockey-reference.com/players/c/crosbsi01.html
1,3,CAR,Jack Johnson,D,USA,219,73,2005,18,791,https://www.hockey-reference.com/players/j/johnsja02.html
1,7,CHI,Jack Skille,RW,USA,215,73,2005,18,368,https://www.hockey-reference.com/players/s/skillja01.html
1,8,SJS,Devin Setoguchi,RW,CAN,200,72,2005,18,516,https://www.hockey-reference.com/players/s/setogde01.html
1,9,OTT,Brian Lee,D,USA,208,75,2005,18,209,https://www.hockey-reference.com/players/l/leebr01.html
1,10,VAN,Luc Bourdon,D,CAN,211,75,2005,18,36,https://www.hockey-reference.com/players/b/bourdlu01.html
1,11,LAK,Anze Kopitar,C,SVN,227,75,2005,18,926,https://www.hockey-reference.com/players/k/kopitan01.html
1,12,NYR,Marc Staal,D,CAN,208,76,2005,18,765,https://www.hockey-reference.com/players/s/staalma01.html
1,13,BUF,Marek Zagrapan,C,SVK,195,73,2005,18,0,https://www.hockey-reference.com/players/z/zagrama01.html
1,14,WSH,Sasha Pokulok,D,CAN,220,77,2005,19,0,https://www.hockey-reference.com/players/p/pokulsa01.html
1,16,ATL,Alex Bourret,RW,CAN,205,70,2005,18,0,https://www.hockey-reference.com/players/b/bourral01.html
1,17,PHX,Martin Hanzal,C,CZE,230,78,2005,18,666,https://www.hockey-reference.com/players/h/hanzama01.html
1,18,NSH,Ryan Parent,D,CAN,198,75,2005,18,106,https://www.hockey-reference.com/players/p/parenry01.html
1,19,DET,Jakub Kindl,D,CZE,199,75,2005,18,331,https://www.hockey-reference.com/players/k/kindlja01.html
1,20,FLA,Kenndal McArdle,LW,CAN,190,71,2005,18,42,https://www.hockey-reference.com/players/m/mcardke01.html
1,23,NJD,Niclas Bergfors,F,SWE,200,72,2005,18,173,https://www.hockey-reference.com/players/b/bergfni01.html
1,25,EDM,Andrew Cogliano,C,CAN,188,70,2005,18,870,https://www.hockey-reference.com/players/c/coglian01.html
1,26,CGY,Matt Pelech,D,CAN,220,76,2005,18,13,https://www.hockey-reference.com/players/p/pelecma01.html
1,27,WSH,Joe Finley,D,USA,247,80,2005,18,21,https://www.hockey-reference.com/players/f/finlejo01.html
1,28,DAL,Matt Niskanen,D,USA,200,72,2005,18,805,https://www.hockey-reference.com/players/n/niskama01.html
2,33,DAL,James Neal,LW,CAN,208,74,2005,18,707,https://www.hockey-reference.com/players/n/nealja01.html
2,34,COL,Ryan Stoa,C,USA,200,75,2005,18,40,https://www.hockey-reference.com/players/s/stoary01.html
2,38,NJD,Jeff Frazee,G,USA,195,72,2005,18,1,https://www.hockey-reference.com/players/f/frazeje01.html
2,41,ATL,Ondrej Pavelec,G,CZE,220,75,2005,18,398,https://www.hockey-reference.com/players/p/pavelon01.html
2,43,CHI,Mike Blunden,RW,CAN,211,76,2005,18,127,https://www.hockey-reference.com/players/b/blundmi01.html
2,44,COL,Paul Stastny,C,CAN,205,72,2005,19,827,https://www.hockey-reference.com/players/s/stastpa01.html
2,45,MTL,Guillaume Latendresse,RW,CAN,230,74,2005,18,341,https://www.hockey-reference.com/players/l/latengu01.html
2,46,NYI,Dustin Kohn,D,CAN,200,73,2005,18,22,https://www.hockey-reference.com/players/k/kohndu01.html
2,47,COL,Tom Fritsche,LW,USA,183,71,2005,18,0,https://www.hockey-reference.com/players/f/fritsto01.html
2,48,BUF,Philip Gogulla,F,DEU,182,74,2005,18,0,https://www.hockey-reference.com/players/g/gogulph01.html
2,49,ATL,Chad Denny,D,CAN,210,75,2005,18,0,https://www.hockey-reference.com/players/d/dennych01.html
2,50,LAK,Dany Roussin,LW,CAN,190,74,2005,20,0,https://www.hockey-reference.com/players/r/roussda01.html
2,51,VAN,Mason Raymond,LW,CAN,185,72,2005,19,546,https://www.hockey-reference.com/players/r/raymoma01.html
2,52,COL,Chris Durand,C,CAN,186,73,2005,18,0,https://www.hockey-reference.com/players/d/duranch01.html
2,53,ATL,Andrew Kozek,F,CAN,205,71,2005,19,0,https://www.hockey-reference.com/players/k/kozekan01.html
2,54,CHI,Dan Bertram,RW,CAN,184,70,2005,18,0,https://www.hockey-reference.com/players/b/bertrda01.html
2,55,CBJ,Adam McQuaid,D,CAN,197,76,2005,18,466,https://www.hockey-reference.com/players/m/mcquaad01.html
2,60,LAK,T.J. Fast,D,CAN,190,73,2005,18,0,https://www.hockey-reference.com/players/f/fastt.01.html
3,64,CAR,Joe Barnes,C,CAN,212,75,2005,19,0,https://www.hockey-reference.com/players/b/barnejo01.html
3,66,NYR,Brodie Dupont,C,CAN,212,74,2005,18,1,https://www.hockey-reference.com/players/d/duponbr01.html
3,67,CBJ,Kris Russell,D,CAN,174,70,2005,18,721,https://www.hockey-reference.com/players/r/russekr01.html
3,72,LAK,Jonathan Quick,G,USA,212,73,2005,19,557,https://www.hockey-reference.com/players/q/quickjo01.html
3,73,TBL,Radek Smolenak,LW,CZE,207,74,2005,18,7,https://www.hockey-reference.com/players/s/smolera01.html
3,74,CGY,Dan Ryder,C,CAN,193,71,2005,18,0,https://www.hockey-reference.com/players/r/ryderda01.html
3,75,DAL,Perttu Lindgren,C,FIN,188,72,2005,18,1,https://www.hockey-reference.com/players/l/lindgpe01.html
3,76,NYI,Shea Guthrie,F,CAN,187,72,2005,18,0,https://www.hockey-reference.com/players/g/guthrsh01.html
3,77,NYR,Dalyn Flatt,D,CAN,215,75,2005,18,0,https://www.hockey-reference.com/players/f/flattda01.html
3,78,NSH,Teemu Laakso,D,FIN,209,73,2005,18,17,https://www.hockey-reference.com/players/l/laakste01.html
3,80,DET,Christofer Lofberg,C,SWE,189,75,2005,18,0,https://www.hockey-reference.com/players/l/lofbech01.html
3,82,TOR,Phil Oreskovic,D,CAN,217,76,2005,18,10,https://www.hockey-reference.com/players/o/oreskph01.html
3,83,BOS,Mikko Lehtonen,RW,FIN,196,75,2005,18,2,https://www.hockey-reference.com/players/l/lehtomi02.html
3,85,STL,Ben Bishop,G,USA,215,79,2005,18,326,https://www.hockey-reference.com/players/b/bishobe01.html
3,86,EDM,Robby Dee,F,USA,185,74,2005,18,0,https://www.hockey-reference.com/players/d/deero01.html
3,87,BUF,Marc-Andre Gragnani,D,CAN,201,74,2005,18,78,https://www.hockey-reference.com/players/g/gragnma01.html
3,88,COL,T.J. Hensick,C,USA,190,70,2005,19,112,https://www.hockey-reference.com/players/h/hensitj01.html
3,90,FLA,Dan Collins,RW,USA,185,73,2005,18,0,https://www.hockey-reference.com/players/c/collida01.html
3,91,PHI,Oskars Bartulis,D,LVA,184,74,2005,18,66,https://www.hockey-reference.com/players/b/bartuos01.html
4,93,FLA,Olivier Legault,LW,CAN,238,77,2005,18,0,https://www.hockey-reference.com/players/l/legauol01.html
4,94,CAR,Jakub Vojta,D,CZE,194,72,2005,18,0,https://www.hockey-reference.com/players/v/vojtaja01.html